iter	Passed	Remaining
614	80028	50099
615	80129	49951
616	80263	49823
617	80315	49644
618	80394	49483
619	80514	49347
620	80595	49188
621	80699	49042
622	80789	48888
623	80901	48748
624	80971	48582
625	81174	48497
626	81306	48368
627	81405	48221
628	81702	48190
629	81893	48096
630	81991	47947
631	82159	47839
632	82324	47730
633	82403	47570
634	82578	47466
635	82643	47299
636	82697	47125
637	82819	46991
638	82860	46811
639	83020	46698
640	83258	46629
641	83421	46518
642	83640	46438
643	83985	46426
644	84056	46263
645	84317	46204
646	84642	46180
647	84851	46092
648	84909	45921
649	84938	45736
650	84964	45549
651	85228	45490
652	85328	45343
653	85569	45270
654	85803	45194
655	85993	45093
656	86257	45032
657	86378	44895
658	86515	44767
659	86599	44611
660	86762	44496
661	86952	44395
662	86975	44209
663	87018	44033
664	87307	43982
665	87381	43821
666	87551	43710
667	87785	43629
668	88054	43566
669	88286	43484
670	88537	43411
671	88787	43336
672	89005	43246
673	89174	43131
674	89274	42983
675	89593	42941
676	89729	42810
677	89969	42728
678	90172	42629
679	90261	42476
680	90418	42354
681	90704	42293
682	90937	42206
683	91130	42101
684	91233	41953
685	91303	41792
686	91389	41637
687	91554	41518
688	91688	41386
689	91896	41286
690	91954	41119
691	92102	40993
692	92303	40890
693	92391	40737
694	92483	40586
695	92690	40485
696	93008	40432
697	93195	40322
698	93255	40157
699	93437	40044
700	93588	39918
701	93692	39772
702	93791	39624
703	93996	39521
704	94113	39380
705	94242	39245
706	94426	39132
707	94527	38985
708	94717	38875
709	94786	38715
710	94882	38567
711	95023	38436
712	95107	38283
713	95203	38134
714	95393	38023
715	95523	37889
716	95598	37732
717	95747	37605
718	95960	37503
719	96199	37410
720	96248	37244
721	96583	37188
722	96783	37080
723	97001	36978
724	97193	36866
725	97365	36746
726	98246	36893
727	98659	36861
728	98917	36771
729	99042	36631
730	99128	36478
731	99333	36367
732	99471	36233
733	99650	36113
734	99851	36000
735	100039	35883
736	100640	35913
737	100685	35744
738	100843	35615
739	101000	35486
740	101054	35321
741	101264	35210
742	101518	35114
743	101656	34978
744	101889	34874
745	102056	34748
746	102152	34597
747	102236	34443
748	102407	34318
749	102560	34186
750	102679	34044
751	102954	33953
752	103141	33832
753	103235	33681
754	103338	33533
755	103407	33374
756	103557	33242
757	103656	33093
758	103787	32954
759	103851	32795
760	104058	32680
761	104178	32538
762	104319	32403
763	104390	32246
764	104629	32140
765	104894	32043
766	104952	31882
767	105085	31744
768	105190	31598
769	105261	31441
770	105386	31301
771	105494	31156
772	105560	30999
773	105686	30859
774	105836	30726
775	105963	30587
776	106262	30497
777	106477	30383
778	106645	30255
779	106758	30111
780	106980	29998
781	107133	29865
782	107180	29703
783	107298	29561
784	107430	29423
785	107469	29260
786	107547	29107
787	107670	28967
788	107731	28810
789	107949	28695
790	108154	28576
791	108221	28421
792	108492	28320
793	108760	28217
794	108826	28062
795	109061	27950
796	109140	27798
797	109346	27679
798	109696	27595
799	109946	27486
800	110063	27344
801	110259	27221
802	110419	27089
803	110527	26944
804	110611	26794
805	110897	26692
806	111021	26551
807	111070	26392
808	111211	26256
809	111321	26112
810	111398	25960
811	111519	25819
812	111613	25672
813	111641	25510
814	111719	25359
815	111763	25201
816	111860	25055
817	111952	24908
818	112048	24762
819	112079	24602
820	112140	24449
821	112168	24289
822	112283	24148
823	112401	24008
824	112488	23861
825	112584	23716
826	112705	23576
827	112870	23446
828	112935	23295
829	113185	23182
830	113436	23069
831	113655	22949
832	113718	22798
833	113970	22684
834	114240	22574
835	114658	22492
836	114730	22343
837	114926	22217
838	115125	22092
839	115219	21946
840	115476	21832
841	115554	21683
842	116008	21605
843	116087	21456
844	116334	21339
845	116574	21220
846	116936	21123
847	116982	20968
848	117141	20834
849	117376	20713
850	117486	20570
851	117677	20441
852	117794	20299
853	118099	20190
854	118190	20044
855	118223	19888
856	118500	19773
857	118594	19627
858	118854	19509
859	119057	19381
860	119122	19231
861	119359	19108
862	119535	18976
863	119573	18821
864	119640	18672
865	119794	18536
866	119842	18384
867	120005	18249
868	120125	18108
869	120171	17956
870	120538	17852
871	120727	17721
872	120756	17567
873	120945	17436
874	121202	17314
875	121415	17186
876	121491	17039
877	121679	16907
878	121761	16761
879	121879	16619
880	121999	16478
881	122132	16339
882	122524	16234
883	122690	16099
884	122993	15982
885	123247	15857
886	123495	15732
887	123796	15614
888	123861	15465
889	124197	15350
890	124572	15239
891	124677	15095
892	124737	14946
893	124944	14814
894	125111	14677
895	125249	14537
896	125509	14411
897	125722	14280
898	125880	14142
899	125961	13995
900	126130	13858
901	126296	13721
902	126399	13577
903	126601	13444
904	127003	13331
905	127303	13208
906	127501	13073
907	127565	12925
908	127805	12794
909	127987	12658
910	128296	12533
911	128502	12399
912	128638	12258
913	128854	12124
914	129025	11985
915	129086	11837
916	129168	11691
917	129289	11548
918	129368	11402
919	129650	11273
920	129721	11127
921	129810	10981
922	129883	10835
923	130008	10693
924	130057	10545
925	130249	10408
926	130377	10267
927	130424	10119
928	130527	9975
929	130628	9832
930	130848	9697
931	131179	9571
932	131251	9425
933	131681	9305
934	131913	9170
935	132130	9034
936	132296	8895
937	132368	8749
938	132422	8602
939	132619	8465
940	132844	8329
941	132957	8186
942	133044	8041
943	133143	7898
944	133324	7759
945	133588	7625
946	133746	7485
947	133839	7341
948	133962	7199
949	134148	7060
950	134276	6918
951	134409	6776
952	134607	6638
953	134727	6496
954	134858	6354
955	135086	6217
956	135178	6073
957	135413	5936
958	135684	5800
959	135870	5661
960	135980	5518
961	136098	5376
962	136318	5237
963	136374	5092
964	136552	4952
965	136641	4809
966	136869	4670
967	137071	4531
968	137619	4402
969	137805	4262
970	137869	4117
971	137996	3975
972	138205	3835
973	138408	3694
974	138521	3551
975	138648	3409
976	138760	3266
977	138871	3123
978	138920	2979
979	139082	2838
980	139245	2696
981	139331	2553
982	139417	2411
983	139470	2267
984	139587	2125
985	139739	1984
986	139902	1842
987	139970	1700
988	140152	1558
989	140219	1416
990	140404	1275
991	140555	1133
992	140696	991
993	140765	849
994	140870	707
995	141067	566
996	141174	424
997	141274	283
998	141356	141
999	141591	0
